City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Santa Luzia,BR,2021-01-11 00:31:36,-19.7697,-43.8514,75.2,83,40,9.22,light rain
216,Agbor,NG,2021-01-11 00:31:36,6.2518,6.1934,74.52,95,31,3.78,scattered clouds
217,Anadyr,RU,2021-01-11 00:31:36,64.75,177.4833,-31.0,75,0,13.42,clear sky
218,San Quintin,MX,2021-01-11 00:31:37,30.4833,-115.95,60.85,56,49,7.45,scattered clouds
219,Mitzic,GA,2021-01-11 00:31:37,0.7821,11.549,68.95,97,1,3.33,clear sky
220,San Patricio,US,2021-01-11 00:31:37,28.017,-97.5169,42.8,87,90,23.02,overcast clouds
221,Kangaatsiaq,GL,2021-01-11 00:31:37,68.3065,-53.4641,21.04,90,100,12.97,overcast clouds
222,Torit,SS,2021-01-11 00:31:37,4.4133,32.5678,77.09,31,5,0.89,clear sky
223,Tuktoyaktuk,CA,2021-01-11 00:30:40,69.4541,-133.0374,1.4,85,75,11.5,light snow
224,Sandnessjoen,NO,2021-01-11 00:31:39,66.0217,12.6316,32.0,69,20,13.8,few clouds
225,Biak,ID,2021-01-11 00:31:39,-0.9131,122.8766,83.12,69,35,1.52,scattered clouds
226,Ler,SS,2021-01-11 00:31:39,8.3018,30.1418,69.69,24,98,5.57,overcast clouds
227,Doka,SD,2021-01-11 00:31:39,13.5167,35.7667,67.95,45,0,11.16,clear sky
228,Buala,SB,2021-01-11 00:31:40,-8.145,159.5921,81.97,78,100,1.9,moderate rain
229,Solton,RU,2021-01-11 00:31:40,52.8429,86.4787,15.96,97,100,4.29,snow
230,Elizabeth City,US,2021-01-11 00:31:40,36.2946,-76.2511,37.99,87,1,4.61,clear sky
231,Kaitangata,NZ,2021-01-11 00:31:41,-46.2817,169.8464,60.01,52,100,11.01,overcast clouds
232,Mbekenyera,TZ,2021-01-11 00:31:41,-10.0,38.9833,69.96,97,97,2.57,overcast clouds
233,Yinchuan,CN,2021-01-11 00:31:41,38.4681,106.2731,13.75,76,0,8.14,clear sky
234,Pipri,IN,2021-01-11 00:31:41,19.8,75.5333,64.4,82,0,4.32,haze
235,Varhaug,NO,2021-01-11 00:31:42,58.6147,5.6457,33.8,100,75,4.61,light rain
